               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.057067,             0.03847,            0.018101,             0.65338,             0.21429,             0.27053,             0.11067,            0.054013,            0.028171,            0.012393,            0.006436,            0.006436,            0.006436
                  38,            0.057215,            0.039578,            0.016907,             0.35532,              0.2256,             0.20378,            0.073384,            0.054978,            0.029304,            0.012812,            0.006337,            0.006337,            0.006337
                  39,             0.05595,            0.037917,            0.017046,              0.6434,             0.27496,              0.2908,             0.12343,            0.053113,            0.027866,            0.011639,            0.006238,            0.006238,            0.006238
                  40,            0.054852,            0.037291,            0.016724,             0.50378,             0.32192,             0.26355,            0.096164,            0.054081,            0.028754,            0.010582,            0.006139,            0.006139,            0.006139
                  41,            0.054691,            0.038196,            0.017012,             0.54484,              0.3385,             0.32382,             0.13684,            0.052471,            0.027833,            0.010927,             0.00604,             0.00604,             0.00604
                  42,            0.054201,            0.040054,            0.017179,             0.40716,             0.25317,             0.22257,            0.088742,            0.052147,            0.030862,            0.016951,            0.005941,            0.005941,            0.005941
                  43,            0.054008,            0.037809,            0.016035,             0.56753,             0.27801,             0.29106,             0.12717,            0.050542,            0.027855,            0.010356,            0.005842,            0.005842,            0.005842
                  44,            0.054495,            0.037236,            0.015231,             0.63129,             0.26547,             0.27403,             0.10695,            0.052884,            0.030788,            0.014195,            0.005743,            0.005743,            0.005743
                  45,            0.054053,            0.037423,            0.015864,             0.63454,             0.31433,             0.35246,             0.15385,            0.050277,            0.027121,            0.009087,            0.005644,            0.005644,            0.005644
                  46,            0.052805,            0.036363,            0.016012,             0.62893,             0.27318,             0.30913,             0.14183,            0.051909,            0.028027,            0.011442,            0.005545,            0.005545,            0.005545
                  47,            0.052312,            0.039768,            0.014438,             0.46475,             0.33589,             0.30544,             0.13515,            0.050829,             0.02993,            0.012467,            0.005446,            0.005446,            0.005446
                  48,            0.051325,            0.038609,            0.014961,             0.46346,             0.33426,             0.32632,             0.14746,            0.050464,            0.028492,            0.010571,            0.005347,            0.005347,            0.005347
                  49,            0.050282,            0.037323,            0.014559,              0.5571,              0.2132,              0.2007,            0.072784,            0.058303,             0.02998,            0.014757,            0.005248,            0.005248,            0.005248
                  50,              0.0514,            0.038423,            0.014554,              0.5967,             0.34553,             0.32998,             0.13502,            0.049285,             0.02924,           0.0097527,            0.005149,            0.005149,            0.005149
                  51,            0.051229,            0.036606,            0.013605,             0.62274,             0.33298,             0.34132,             0.12418,            0.053339,            0.028513,            0.013116,             0.00505,             0.00505,             0.00505
                  52,            0.051378,            0.039071,            0.014141,             0.69341,             0.31613,             0.34259,             0.14253,            0.048254,            0.027514,            0.010828,            0.004951,            0.004951,            0.004951
                  53,             0.05015,             0.03646,            0.014474,             0.49594,             0.36226,              0.3368,             0.15266,            0.047869,            0.027114,           0.0096997,            0.004852,            0.004852,            0.004852
                  54,            0.049743,            0.039704,            0.014253,             0.67562,             0.31463,             0.34727,             0.13543,            0.050329,            0.027754,            0.010343,            0.004753,            0.004753,            0.004753
                  55,            0.048961,            0.037023,            0.013635,             0.62411,             0.32043,             0.33435,             0.13869,            0.048762,            0.027417,            0.012022,            0.004654,            0.004654,            0.004654
                  56,            0.049165,            0.035451,            0.012902,              0.5689,             0.29733,             0.31724,             0.12938,            0.052131,              0.0275,            0.010655,            0.004555,            0.004555,            0.004555
                  57,             0.05049,              0.0361,            0.012616,             0.51443,             0.33445,             0.34587,             0.14923,            0.047908,            0.026867,           0.0097236,            0.004456,            0.004456,            0.004456
                  58,            0.049034,            0.036015,            0.013475,             0.66494,             0.28585,              0.3318,             0.13587,            0.049017,            0.027031,           0.0093116,            0.004357,            0.004357,            0.004357
