               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.058904,            0.040263,             0.01886,             0.47813,             0.25388,             0.23984,            0.095171,            0.057502,            0.029591,             0.01488,            0.006436,            0.006436,            0.006436
                  38,            0.057233,             0.04141,            0.019444,             0.58002,             0.26835,             0.26018,             0.10466,            0.052541,             0.02924,            0.013053,            0.006337,            0.006337,            0.006337
                  39,            0.056871,            0.040297,            0.018264,             0.37893,              0.2821,             0.23104,            0.092593,            0.052488,            0.029874,            0.013492,            0.006238,            0.006238,            0.006238
                  40,            0.058137,            0.041508,             0.01837,             0.44036,             0.31529,             0.29741,             0.11445,            0.053036,            0.029052,            0.012699,            0.006139,            0.006139,            0.006139
                  41,            0.057334,            0.038461,            0.017698,             0.65862,             0.29718,             0.29624,             0.11768,            0.052825,            0.030996,            0.013122,             0.00604,             0.00604,             0.00604
                  42,              0.0555,            0.039173,            0.017094,             0.53292,             0.26271,              0.2344,            0.084245,            0.053956,            0.030247,            0.012087,            0.005941,            0.005941,            0.005941
                  43,            0.055716,             0.03971,            0.018334,             0.41486,             0.29256,             0.26702,             0.10138,            0.054207,            0.029445,            0.010812,            0.005842,            0.005842,            0.005842
                  44,            0.054705,            0.038405,            0.017529,             0.35449,             0.25846,             0.19091,            0.078634,            0.055324,            0.039394,            0.013457,            0.005743,            0.005743,            0.005743
                  45,            0.055004,            0.038859,            0.017203,             0.58248,             0.27837,             0.25911,            0.093851,            0.055719,            0.029314,            0.011778,            0.005644,            0.005644,            0.005644
                  46,            0.054092,            0.037414,             0.01654,             0.43161,             0.35558,             0.32122,             0.13235,            0.051075,            0.027972,            0.011049,            0.005545,            0.005545,            0.005545
                  47,             0.05488,            0.040077,            0.016382,             0.57239,             0.33076,             0.31646,             0.12398,            0.050966,            0.028905,            0.011463,            0.005446,            0.005446,            0.005446
